Lugar de nacimiento del condenado;Edad del condenado;Periodo;Total
Europa;De 70 a 74 años  ;2019;206
Europa;De 70 a 74 años  ;2018;230
Europa;De 70 a 74 años  ;2017;191
Europa;De 70 a 74 años  ;2016;183
Europa;De 70 a 74 años  ;2015;167
Europa;75 y más años;2022;248
Europa;75 y más años;2021;199
Europa;75 y más años;2020;176
Europa;75 y más años;2019;179
Europa;75 y más años;2018;182
Europa;75 y más años;2017;183
Europa;75 y más años;2016;155
Europa;75 y más años;2015;152
España;Todas las edades;2022;22.958
España;Todas las edades;2021;21.459
España;Todas las edades;2020;16.755
España;Todas las edades;2019;20.448
España;Todas las edades;2018;19.101
España;Todas las edades;2017;18.923
España;Todas las edades;2016;18.124
España;Todas las edades;2015;17.036
España;Menos de 18 años;2022;61
España;Menos de 18 años;2021;74
España;Menos de 18 años;2020;73
España;Menos de 18 años;2019;95
España;Menos de 18 años;2018;75
España;Menos de 18 años;2017;79
España;Menos de 18 años;2016;49
España;Menos de 18 años;2015;51
España;De 18 a 19 años;2022;452
España;De 18 a 19 años;2021;444
España;De 18 a 19 años;2020;353
España;De 18 a 19 años;2019;459
España;De 18 a 19 años;2018;417
España;De 18 a 19 años;2017;433
España;De 18 a 19 años;2016;353
España;De 18 a 19 años;2015;359
España;De 20 a 24 años;2022;1.717
España;De 20 a 24 años;2021;1.724
España;De 20 a 24 años;2020;1.289
España;De 20 a 24 años;2019;1.713
España;De 20 a 24 años;2018;1.632
España;De 20 a 24 años;2017;1.626
España;De 20 a 24 años;2016;1.569
España;De 20 a 24 años;2015;1.529
España;De 25 a 29 años;2022;2.277
España;De 25 a 29 años;2021;2.219
España;De 25 a 29 años;2020;1.786
España;De 25 a 29 años;2019;2.317
España;De 25 a 29 años;2018;2.150
España;De 25 a 29 años;2017;2.166
España;De 25 a 29 años;2016;2.200
España;De 25 a 29 años;2015;2.012
España;De 30 a 34 años;2022;3.278
España;De 30 a 34 años;2021;3.046
España;De 30 a 34 años;2020;2.407
España;De 30 a 34 años;2019;2.798
España;De 30 a 34 años;2018;2.697
España;De 30 a 34 años;2017;2.679
España;De 30 a 34 años;2016;2.495
España;De 30 a 34 años;2015;2.390
España;De 35 a 39 años;2022;3.690
España;De 35 a 39 años;2021;3.454
España;De 35 a 39 años;2020;2.669
España;De 35 a 39 años;2019;3.296
España;De 35 a 39 años;2018;3.102
España;De 35 a 39 años;2017;3.092
España;De 35 a 39 años;2016;2.870
España;De 35 a 39 años;2015;2.784
España;De 40 a 44 años;2022;3.732
España;De 40 a 44 años;2021;3.507
España;De 40 a 44 años;2020;2.713
España;De 40 a 44 años;2019;3.286
España;De 40 a 44 años;2018;2.939
España;De 40 a 44 años;2017;2.902
